index_x,unique_id,ds,Naive,SeasonalNaive,AutoARIMA,AutoETS,index_y,LGBMRegressor,index,NBEATS,NHITS
374,hotel_7,2023-06-13,0.8094462540716613,0.6270358306188925,0.4680389732339938,0.571969959588913,374,0.6779990254890155,374,0.52997434,0.48652324
375,hotel_7,2023-06-14,0.8094462540716613,0.6449511400651465,0.6143466691379318,0.7372719503055183,375,0.6894715860138476,375,0.67760646,0.6260871
376,hotel_7,2023-06-15,0.8094462540716613,0.7980456026058632,0.6451087181154279,0.776442840243807,376,0.69478866982199,376,0.76852274,0.68786407
377,hotel_7,2023-06-16,0.8094462540716613,0.8094462540716613,0.702455130572992,0.8082867631899068,377,0.727575997952367,377,0.7684821,0.6961326
378,hotel_7,2023-06-17,0.8094462540716613,0.750814332247557,0.6199583053831834,0.7270081556901234,378,0.7758315549600235,378,0.658643,0.65428257
379,hotel_7,2023-06-18,0.8094462540716613,0.7785016286644951,0.60477022880176,0.7080671679310537,379,0.5836838630913868,379,0.6499138,0.6391296
380,hotel_7,2023-06-19,0.8094462540716613,0.6237785016286646,0.47480003353463807,0.5797217911384903,380,0.565939211085684,380,0.5475732,0.52637494
381,hotel_7,2023-06-20,0.8094462540716613,0.6270358306188925,0.4613185604410148,0.571969959588913,381,0.5834537648746496,381,0.5184691,0.50632703
382,hotel_7,2023-06-21,0.8094462540716613,0.6449511400651465,0.5888568696823023,0.7372719503055183,382,0.6465955448772182,382,0.6841589,0.6413034
383,hotel_7,2023-06-22,0.8094462540716613,0.7980456026058632,0.6303963086032018,0.776442840243807,383,0.6761814785614444,383,0.7855017,0.7158348
384,hotel_7,2023-06-23,0.8094462540716613,0.8094462540716613,0.6903955900574341,0.8082867631899068,384,0.7335956124077556,384,0.7485485,0.68997127
385,hotel_7,2023-06-24,0.8094462540716613,0.750814332247557,0.5994536961902206,0.7270081556901234,385,0.7771763343253356,385,0.69017136,0.6532001
386,hotel_7,2023-06-25,0.8094462540716613,0.7785016286644951,0.5813017766592918,0.7080671679310537,386,0.59886958068889,386,0.64531356,0.6355719
387,hotel_7,2023-06-26,0.8094462540716613,0.6237785016286646,0.4517131279173989,0.5797217911384903,387,0.6672025913837072,387,0.5426276,0.49265707
388,hotel_7,2023-06-27,0.8094462540716613,0.6270358306188925,0.445131694758748,0.571969959588913,388,0.700447350288607,388,0.5710142,0.4785319
389,hotel_7,2023-06-28,0.8094462540716613,0.6449511400651465,0.5848439097590205,0.7372719503055183,389,0.696487838805964,389,0.72824144,0.61414844
390,hotel_7,2023-06-29,0.8094462540716613,0.7980456026058632,0.6226674856116694,0.776442840243807,390,0.7003934104545173,390,0.7368631,0.66254634
391,hotel_7,2023-06-30,0.8094462540716613,0.8094462540716613,0.6830245103018058,0.8082867631899068,391,0.7417297536304703,391,0.73590755,0.6855658
392,hotel_70,2023-06-03,0.5657894736842105,0.41228070175438597,0.5743634708062781,0.5917986913036359,392,0.515951701980893,392,0.5576353,0.55886436
393,hotel_70,2023-06-04,0.5657894736842105,0.4298245614035088,0.5653676988575693,0.48171847607544516,393,0.412972645136335,393,0.4272794,0.42884064
394,hotel_70,2023-06-05,0.5657894736842105,0.2543859649122807,0.5004917303918942,0.48848736242562163,394,0.4254071722503432,394,0.4270528,0.44069788
395,hotel_70,2023-06-06,0.5657894736842105,0.35964912280701755,0.5431333199821656,0.481538355076262,395,0.40705940175329774,395,0.4794308,0.4681421
396,hotel_70,2023-06-07,0.5657894736842105,0.4868421052631579,0.5819622116582837,0.46774949360625423,396,0.4134762953836708,396,0.4852656,0.4875031
397,hotel_70,2023-06-08,0.5657894736842105,0.5964912280701754,0.6211161887577556,0.5069465780793083,397,0.47921508244011646,397,0.50095373,0.50300395
398,hotel_70,2023-06-09,0.5657894736842105,0.5657894736842105,0.6058920520774433,0.5620563067445632,398,0.5249526811652864,398,0.57827914,0.5693287
399,hotel_70,2023-06-10,0.5657894736842105,0.41228070175438597,0.6149533239473368,0.5917986913036359,399,0.5054081958217971,399,0.5467172,0.54767543
400,hotel_70,2023-06-11,0.5657894736842105,0.4298245614035088,0.6168989977520634,0.48171847607544516,400,0.44796493210069716,400,0.40183824,0.41976035
401,hotel_70,2023-06-12,0.5657894736842105,0.2543859649122807,0.545651793970538,0.48848736242562163,401,0.4726626181330005,401,0.44608888,0.4408013
402,hotel_70,2023-06-13,0.5657894736842105,0.35964912280701755,0.5896430874170754,0.481538355076262,402,0.5013982830369486,402,0.4818204,0.46647924
403,hotel_70,2023-06-14,0.5657894736842105,0.4868421052631579,0.6385524154747655,0.46774949360625423,403,0.5255856956458211,403,0.48012477,0.47838396
404,hotel_70,2023-06-15,0.5657894736842105,0.5964912280701754,0.6826158036466105,0.5069465780793083,404,0.519247732740939,404,0.49273217,0.49723622
405,hotel_70,2023-06-16,0.5657894736842105,0.5657894736842105,0.668852781341487,0.5620563067445632,405,0.5552114562063649,405,0.53536594,0.54725635
406,hotel_70,2023-06-17,0.5657894736842105,0.41228070175438597,0.6743051341985253,0.5917986913036359,406,0.5141551280441324,406,0.5146956,0.5327188
407,hotel_70,2023-06-18,0.5657894736842105,0.4298245614035088,0.6724153887078722,0.48171847607544516,407,0.4477642728823026,407,0.39641687,0.40760383
408,hotel_70,2023-06-19,0.5657894736842105,0.2543859649122807,0.6302617911116319,0.48848736242562163,408,0.433467895391041,408,0.4239297,0.421769
409,hotel_70,2023-06-20,0.5657894736842105,0.35964912280701755,0.6570191749294426,0.481538355076262,409,0.422524230406533,409,0.475109,0.44481274
410,hotel_70,2023-06-21,0.5657894736842105,0.4868421052631579,0.6843448274040699,0.46774949360625423,410,0.4455395471975679,410,0.444723,0.46860346
411,hotel_70,2023-06-22,0.5657894736842105,0.5964912280701754,0.7101413664291951,0.5069465780793083,411,0.4827536155997271,411,0.4762851,0.49275672
412,hotel_70,2023-06-23,0.5657894736842105,0.5657894736842105,0.7012382105372837,0.5620563067445632,412,0.5196326742641749,412,0.5438897,0.53734815
413,hotel_70,2023-06-24,0.5657894736842105,0.41228070175438597,0.7056210271838536,0.5917986913036359,413,0.4940047159689075,413,0.5223003,0.5232015
414,hotel_70,2023-06-25,0.5657894736842105,0.4298245614035088,0.7055384151112037,0.48171847607544516,414,0.4496506047303374,414,0.40457463,0.40090507
415,hotel_70,2023-06-26,0.5657894736842105,0.2543859649122807,0.6713170222644048,0.48848736242562163,415,0.43133335625340513,415,0.43067622,0.41879874
416,hotel_70,2023-06-27,0.5657894736842105,0.35964912280701755,0.6926909982982433,0.481538355076262,416,0.44413434421870523,416,0.469795,0.4460423
417,hotel_70,2023-06-28,0.5657894736842105,0.4868421052631579,0.7156439898927878,0.46774949360625423,417,0.482980529621575,417,0.4731441,0.4727884
418,hotel_70,2023-06-29,0.5657894736842105,0.5964912280701754,0.7367169327998774,0.5069465780793083,418,0.505900770346091,418,0.5195043,0.49546474
